"strain" "sex" "litter" "age" "tag" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"26" "C57BL6/J" "Male" "c8th" 43 "mouseID" 60 25 13 2 24
"27" "C57BL6/J" "Male" "c8th" 43 "mouseID" 90 13 23 7 115
"28" "C57BL6/J" "Female" "c9th" 43 "mouseID" 99 25 1 2 0
"29" "C57BL6/J" "Female" "c9th" 43 "mouseID" 111 34 0 1 13
"30" "C57BL6/J" "Male" "c9th" 43 "mouseID" 100 45 9 0 2
"31" "C57BL6/J" "Male" "c9th" 43 "mouseID" 65 18 13 2 4
"32" "C57BL6/J" "Female" "c10th" 24 "mouseID" 24 16 9 20 58
"33" "C57BL6/J" "Female" "c10th" 24 "mouseID" 0 14 40 12 111
"34" "C57BL6/J" "Male" "c10th" 24 "mouseID" 69 14 120 10 164
"35" "C57BL6/J" "Male" "c10th" 24 "mouseID" 56 11 49 4 142
"36" "C57BL6/J" "Female" "c11th" 71 "mouseID" 51 13 1 1 1
"37" "C57BL6/J" "Female" "c11th" 71 "mouseID" 147 33 3 0 18
"38" "C57BL6/J" "Male" "c11th" 71 "mouseID" 68 25 3 3 11
"39" "C57BL6/J" "Female" "c12th" 32 "mouseID" 117 27 80 14 152
"40" "C57BL6/J" "Female" "c12th" 32 "mouseID" 67 12 20 8 103
"41" "C57BL6/J" "Male" "c12th" 32 "mouseID" 104 26 38 14 109
"42" "C57BL6/J" "Male" "c12th" 32 "mouseID" 101 29 53 9 157
"43" "C57BL6/J" "Male" "c13th" 32 "mouseID" 123 47 33 27 126
"44" "C57BL6/J" "Male" "c13th" 32 "mouseID" 71 7 17 7 102
"45" "C57BL6/J" "Female" "c14th" 20 "mouseID" 81 13 24 8 71
"46" "C57BL6/J" "Female" "c14th" 20 "mouseID" 65 0 24 0 93
"47" "C57BL6/J" "Male" "c14th" 20 "mouseID" 36 7 33 6 90
"48" "C57BL6/J" "Male" "c14th" 20 "mouseID" 39 3 48 3 65
"49" "C57BL6/J" "Female" "c15th" 32 "mouseID" 77 24 34 8 48
"50" "C57BL6/J" "Male" "c15th" 32 "mouseID" 43 14 24 5 52
"51" "C57BL6/J" "Male" "c15th" 32 "mouseID" 38 6 23 2 25
"52" "C57BL6/J" "Female" "c16th" 71 "mouseID" 79 20 40 7 49
"53" "C57BL6/J" "Female" "c16th" 71 "mouseID" 150 52 43 16 84
"54" "C57BL6/J" "Male" "c16th" 71 "mouseID" 147 39 60 7 112
"55" "C57BL6/J" "Female" "c17th" 32 "mouseID" 115 25 84 14 85
"56" "C57BL6/J" "Female" "c17th" 32 "mouseID" 38 9 16 4 11
"57" "C57BL6/J" "Male" "c17th" 32 "mouseID" 53 10 28 6 78
"58" "C57BL6/J" "Male" "c17th" 32 "mouseID" 137 40 41 18 91
"59" "C57BL6/J" "Female" "c18th" 24 "mouseID" 109 26 34 50 142
"60" "C57BL6/J" "Female" "c18th" 24 "mouseID" 53 2 30 0 96
"61" "C57BL6/J" "Male" "c18th" 24 "mouseID" 124 10 99 10 97
"62" "C57BL6/J" "Male" "c18th" 24 "mouseID" 19 2 9 1 25
"63" "C57BL6/J" "Female" "c19th" 32 "mouseID" 152 29 34 6 117
"64" "C57BL6/J" "Female" "c19th" 32 "mouseID" 18 5 7 1 11
"65" "C57BL6/J" "Male" "c19th" 32 "mouseID" 101 26 47 17 80
"66" "C57BL6/J" "Male" "c19th" 32 "mouseID" 22 5 8 1 18
"67" "C57BL6/J" "Female" "c21st" 20 "mouseID" 109 5 31 0 130
"68" "C57BL6/J" "Female" "c21st" 20 "mouseID" 57 12 23 9 79
"69" "C57BL6/J" "Male" "c21st" 20 "mouseID" 51 0 52 0 110
"70" "C57BL6/J" "Female" "c22nd" 43 "mouseID" 80 35 0 4 3
"71" "C57BL6/J" "Female" "c22nd" 43 "mouseID" 54 13 3 2 7
"72" "C57BL6/J" "Male" "c22nd" 43 "mouseID" 90 49 8 4 7
"73" "C57BL6/J" "Male" "c22nd" 43 "mouseID" 120 31 21 1 18
"74" "C57BL6/J" "Female" "c25th" 32 "mouseID" 127 30 42 10 91
"75" "C57BL6/J" "Female" "c25th" 32 "mouseID" 184 39 72 13 188
"76" "C57BL6/J" "Male" "c25th" 32 "mouseID" 108 19 35 6 142
"77" "C57BL6/J" "Male" "c25th" 32 "mouseID" 15 2 9 2 13
"78" "C57BL6/J" "Female" "c26th" 32 "mouseID" 128 11 7 0 38
"79" "C57BL6/J" "Female" "c26th" 32 "mouseID" 98 28 5 3 9
"80" "C57BL6/J" "Male" "c26th" 32 "mouseID" 137 27 4 0 18
"81" "C57BL6/J" "Male" "c26th" 32 "mouseID" 44 13 3 0 19
"82" "C57BL6/J" "Female" "c27th" 20 "mouseID" 117 1 1 0 35
"83" "C57BL6/J" "Female" "c27th" 20 "mouseID" 94 3 6 0 10
"84" "C57BL6/J" "Male" "c27th" 20 "mouseID" 77 7 1 0 0
"85" "C57BL6/J" "Male" "c27th" 20 "mouseID" 128 24 0 0 1
"86" "C57BL6/J" "Female" "c28th" 71 "mouseID" 138 42 14 7 75
"87" "C57BL6/J" "Female" "c28th" 71 "mouseID" 126 34 42 14 60
"88" "C57BL6/J" "Male" "c28th" 71 "mouseID" 95 29 21 4 78
"89" "C57BL6/J" "Female" "c33rd" 71 "mouseID" 143 43 44 29 82
"90" "C57BL6/J" "Female" "c33rd" 71 "mouseID" 85 23 43 5 85
"91" "C57BL6/J" "Male" "c33rd" 71 "mouseID" 63 16 21 5 61
"92" "C57BL6/J" "Male" "c33rd" 71 "mouseID" 40 11 11 0 35
"93" "C57BL6/J" "Female" "c38th" 20 "mouseID" 142 8 117 3 155
"94" "C57BL6/J" "Female" "c38th" 20 "mouseID" 45 14 13 15 126
"95" "C57BL6/J" "Male" "c38th" 20 "mouseID" 71 8 21 1 102
"96" "C57BL6/J" "Male" "c38th" 20 "mouseID" 27 1 16 0 74
"97" "C57BL6/J" "Female" "c43rd" 24 "mouseID" 163 0 28 0 128
"98" "C57BL6/J" "Female" "c43rd" 24 "mouseID" 76 17 37 11 105
"99" "C57BL6/J" "Male" "c43rd" 24 "mouseID" 53 3 29 3 86
"100" "C57BL6/J" "Male" "c43rd" 24 "mouseID" 60 20 26 11 104
"101" "C57BL6/J" "Female" "c44th" 32 "mouseID" 22 3 12 1 57
"102" "C57BL6/J" "Female" "c44th" 32 "mouseID" 69 31 67 16 0
"103" "C57BL6/J" "Male" "c44th" 32 "mouseID" 25 1 26 0 25
"104" "C57BL6/J" "Male" "c44th" 32 "mouseID" 62 0 33 0 140
"105" "C57BL6/J" "Female" "c45th" 20 "mouseID" 79 17 26 11 102
"106" "C57BL6/J" "Female" "c45th" 20 "mouseID" 81 25 59 23 220
"107" "C57BL6/J" "Female" "c45th" 20 "mouseID" 69 8 121 5 138
"108" "C57BL6/J" "Male" "c45th" 20 "mouseID" 3 0 4 0 7
"109" "C57BL6/J" "Female" "c47th" 24 "mouseID" 34 3 12 0 56
"110" "C57BL6/J" "Female" "c47th" 24 "mouseID" 29 2 22 1 42
"111" "C57BL6/J" "Male" "c47th" 24 "mouseID" 48 9 38 8 74
"112" "C57BL6/J" "Male" "c47th" 24 "mouseID" 84 2 63 0 63
"113" "C57BL6/J" "Female" "c48th" 32 "mouseID" 128 33 78 33 172
"114" "C57BL6/J" "Female" "c48th" 32 "mouseID" 47 10 23 0 43
"115" "C57BL6/J" "Male" "c48th" 32 "mouseID" 72 8 42 13 154
"116" "C57BL6/J" "Female" "c49th" 71 "mouseID" 61 19 12 3 16
"117" "C57BL6/J" "Female" "c49th" 71 "mouseID" 73 29 24 6 95
"118" "C57BL6/J" "Male" "c49th" 71 "mouseID" 104 28 30 3 95
"119" "C57BL6/J" "Female" "c51st" 24 "mouseID" 19 7 15 4 33
"120" "C57BL6/J" "Female" "c51st" 24 "mouseID" 77 13 64 6 87
"121" "C57BL6/J" "Male" "c51st" 24 "mouseID" 43 4 56 0 80
"122" "Balb/cJ" "Female" "b2nd" 43 "mouseID" 176 60 99 44 135
"123" "Balb/cJ" "Female" "b2nd" 43 "mouseID" 165 37 56 44 137
"124" "Balb/cJ" "Female" "b3rd" 71 "mouseID" 32 7 20 6 27
"125" "Balb/cJ" "Female" "b3rd" 71 "mouseID" 166 46 95 24 129
"126" "Balb/cJ" "Male" "b3rd" 71 "mouseID" 111 47 54 19 77
"127" "Balb/cJ" "Male" "b3rd" 71 "mouseID" 108 42 74 25 50
"128" "Balb/cJ" "Male" "b4th" 32 "mouseID" 171 43 124 34 65
"129" "Balb/cJ" "Male" "b4th" 32 "mouseID" 94 13 57 15 15
"130" "Balb/cJ" "Male" "b4th" 32 "mouseID" 100 25 36 1 34
"131" "Balb/cJ" "Male" "b4th" 32 "mouseID" 96 23 69 3 95
"132" "Balb/cJ" "Male" "b5th" 20 "mouseID" 61 19 27 1 8
"133" "Balb/cJ" "Male" "b5th" 20 "mouseID" 17 4 2 0 30
"134" "Balb/cJ" "Female" "b6th" 24 "mouseID" 81 11 50 10 102
"135" "Balb/cJ" "Female" "b6th" 24 "mouseID" 124 20 72 6 90
"136" "Balb/cJ" "Male" "b6th" 24 "mouseID" 52 6 33 12 11
"137" "Balb/cJ" "Male" "b6th" 24 "mouseID" 33 9 24 4 48
"138" "Balb/cJ" "Female" "b7th" 71 "mouseID" 106 37 31 10 13
"139" "Balb/cJ" "Female" "b7th" 71 "mouseID" 122 58 46 21 23
"140" "Balb/cJ" "Male" "b7th" 71 "mouseID" 76 22 38 19 84
"141" "Balb/cJ" "Female" "b9th" 43 "mouseID" 156 47 8 5 0
"142" "Balb/cJ" "Male" "b9th" 43 "mouseID" 105 36 5 9 21
"143" "Balb/cJ" "Male" "b9th" 43 "mouseID" 104 42 0 3 8
"144" "Balb/cJ" "Female" "b10th" 32 "mouseID" 95 29 97 26 73
"145" "Balb/cJ" "Female" "b10th" 32 "mouseID" 62 14 31 6 52
"146" "Balb/cJ" "Male" "b10th" 32 "mouseID" 129 24 74 7 124
"147" "Balb/cJ" "Male" "b10th" 32 "mouseID" 41 10 16 9 1
"148" "Balb/cJ" "Male" "b11th" 32 "mouseID" 79 5 30 6 0
"149" "Balb/cJ" "Male" "b11th" 32 "mouseID" 0 44 144 25 105
"150" "Balb/cJ" "Female" "b13th" 24 "mouseID" 54 4 19 15 81
"151" "Balb/cJ" "Female" "b13th" 24 "mouseID" 89 5 34 0 170
"152" "Balb/cJ" "Male" "b13th" 24 "mouseID" 77 19 31 12 25
"153" "Balb/cJ" "Male" "b13th" 24 "mouseID" 39 11 17 3 7
"154" "Balb/cJ" "Female" "b14th" 71 "mouseID" 51 18 42 3 37
"155" "Balb/cJ" "Female" "b14th" 71 "mouseID" 159 75 111 42 79
"156" "Balb/cJ" "Male" "b14th" 71 "mouseID" 58 15 19 3 57
"157" "Balb/cJ" "Male" "b14th" 71 "mouseID" 108 40 82 18 108
"158" "Balb/cJ" "Female" "b15th" 32 "mouseID" 83 26 58 24 55
"159" "Balb/cJ" "Male" "b15th" 32 "mouseID" 61 17 33 11 37
"160" "Balb/cJ" "Male" "b15th" 32 "mouseID" 59 15 23 13 80
"161" "Balb/cJ" "Female" "b16th" 20 "mouseID" 23 1 10 0 0
"162" "Balb/cJ" "Female" "b16th" 20 "mouseID" 62 3 34 4 62
"163" "Balb/cJ" "Male" "b16th" 20 "mouseID" 39 4 54 0 5
"164" "Balb/cJ" "Female" "b17th" 71 "mouseID" 105 36 34 12 98
"165" "Balb/cJ" "Female" "b17th" 71 "mouseID" 57 16 23 6 18
"166" "Balb/cJ" "Male" "b17th" 71 "mouseID" 139 35 39 14 29
"167" "Balb/cJ" "Male" "b17th" 71 "mouseID" 53 14 27 9 34
"168" "Balb/cJ" "Female" "b18th" 32 "mouseID" 161 45 3 1 1
"169" "Balb/cJ" "Female" "b18th" 32 "mouseID" 158 53 0 0 0
"170" "Balb/cJ" "Male" "b19th" 24 "mouseID" 70 17 13 1 57
"171" "Balb/cJ" "Male" "b19th" 24 "mouseID" 102 29 27 8 78
"172" "Balb/cJ" "Male" "b19th" 24 "mouseID" 58 14 7 17 112
"173" "Balb/cJ" "Male" "b19th" 24 "mouseID" 98 21 14 23 131
"174" "Balb/cJ" "Male" "b22nd" 20 "mouseID" 10 1 1 0 4
"175" "Balb/cJ" "Male" "b22nd" 20 "mouseID" 82 6 29 0 134
"176" "Balb/cJ" "Male" "b22nd" 20 "mouseID" 59 10 16 4 30
"177" "Balb/cJ" "Male" "b22nd" 20 "mouseID" 48 3 17 1 3
"178" "Balb/cJ" "Male" "b23rd" 43 "mouseID" 137 59 80 21 131
"179" "Balb/cJ" "Male" "b23rd" 43 "mouseID" 73 26 56 9 111
"180" "Balb/cJ" "Female" "b24th" 32 "mouseID" 48 15 6 5 3
"181" "Balb/cJ" "Female" "b24th" 32 "mouseID" 115 32 7 0 0
"182" "Balb/cJ" "Male" "b24th" 32 "mouseID" 4 0 0 0 0
"183" "Balb/cJ" "Male" "b24th" 32 "mouseID" 49 15 3 2 7
"184" "Balb/cJ" "Female" "b25th" 43 "mouseID" 107 46 89 24 79
"185" "Balb/cJ" "Female" "b25th" 43 "mouseID" 33 8 16 1 8
"186" "Balb/cJ" "Female" "b26th" 71 "mouseID" 131 51 74 21 69
"187" "Balb/cJ" "Female" "b26th" 71 "mouseID" 85 26 46 10 91
"188" "Balb/cJ" "Male" "b26th" 71 "mouseID" 240 97 126 30 184
"189" "Balb/cJ" "Male" "b26th" 71 "mouseID" 123 23 43 16 107
"190" "Balb/cJ" "Female" "b27th" 32 "mouseID" 74 28 44 12 99
"191" "Balb/cJ" "Female" "b27th" 32 "mouseID" 60 12 23 9 38
"192" "Balb/cJ" "Male" "b27th" 32 "mouseID" 74 26 56 13 93
"193" "Balb/cJ" "Male" "b27th" 32 "mouseID" 125 39 84 21 114
"194" "Balb/cJ" "Female" "b28th" 20 "mouseID" 68 11 44 24 63
"195" "Balb/cJ" "Female" "b28th" 20 "mouseID" 18 4 4 3 7
"196" "Balb/cJ" "Male" "b28th" 20 "mouseID" 55 15 21 2 22
"197" "Balb/cJ" "Male" "b29th" 71 "mouseID" 62 18 48 13 82
"198" "Balb/cJ" "Male" "b29th" 71 "mouseID" 140 42 50 23 75
"199" "Balb/cJ" "Female" "b30th" 71 "mouseID" 129 27 39 26 108
"200" "Balb/cJ" "Female" "b30th" 71 "mouseID" 123 58 54 22 34
"201" "Balb/cJ" "Female" "b34th" 43 "mouseID" 154 53 79 33 123
"202" "Balb/cJ" "Female" "b34th" 43 "mouseID" 82 20 34 9 57
"203" "Balb/cJ" "Male" "b34th" 43 "mouseID" 129 18 63 8 248
"204" "Balb/cJ" "Male" "b34th" 43 "mouseID" 67 10 21 8 60
"205" "Balb/cJ" "Female" "b35th" 43 "mouseID" 50 10 27 5 56
"206" "Balb/cJ" "Female" "b35th" 43 "mouseID" 146 33 75 24 45
"207" "Balb/cJ" "Male" "b35th" 43 "mouseID" 103 48 74 15 162
"208" "Balb/cJ" "Male" "b35th" 43 "mouseID" 4 1 3 1 5
"209" "Balb/cJ" "Female" "b36th" 32 "mouseID" 23 7 0 1 11
"210" "Balb/cJ" "Female" "b36th" 32 "mouseID" 44 20 0 0 0
"211" "Balb/cJ" "Male" "b36th" 32 "mouseID" 85 22 10 13 12
"212" "Balb/cJ" "Male" "b36th" 32 "mouseID" 68 18 1 0 0
"213" "Balb/cJ" "Female" "b37th" 32 "mouseID" 60 4 15 4 15
"214" "Balb/cJ" "Female" "b37th" 32 "mouseID" 46 11 16 0 73
"215" "Balb/cJ" "Male" "b37th" 32 "mouseID" 88 16 24 12 79
"216" "Balb/cJ" "Male" "b37th" 32 "mouseID" 70 5 49 12 27
"217" "Balb/cJ" "Female" "b38th" 24 "mouseID" 31 1 22 0 20
"218" "Balb/cJ" "Female" "b38th" 24 "mouseID" 19 6 10 1 0
"219" "Balb/cJ" "Male" "b38th" 24 "mouseID" 66 4 19 5 163
"220" "Balb/cJ" "Male" "b38th" 24 "mouseID" 82 24 40 13 69
"221" "Balb/cJ" "Female" "b39th" 32 "mouseID" 104 28 17 15 27
"222" "Balb/cJ" "Female" "b39th" 32 "mouseID" 76 20 31 13 65
"223" "Balb/cJ" "Male" "b39th" 32 "mouseID" 63 16 8 7 6
"224" "Balb/cJ" "Male" "b39th" 32 "mouseID" 36 7 8 6 40
"225" "Balb/cJ" "Female" "b41st" 32 "mouseID" 74 15 10 15 71
"226" "Balb/cJ" "Female" "b41st" 32 "mouseID" 73 2 25 0 55
"227" "Balb/cJ" "Female" "b43rd" 32 "mouseID" 115 34 68 25 162
"228" "Balb/cJ" "Female" "b43rd" 32 "mouseID" 39 6 9 7 38
"229" "Balb/cJ" "Male" "b43rd" 32 "mouseID" 92 17 39 1 106
"230" "Balb/cJ" "Male" "b43rd" 32 "mouseID" 125 41 68 26 197
"231" "Balb/cJ" "Female" "b45th" 24 "mouseID" 31 4 7 4 57
"232" "Balb/cJ" "Female" "b45th" 24 "mouseID" 47 9 13 17 10
"233" "Balb/cJ" "Male" "b45th" 24 "mouseID" 64 7 7 20 130
"234" "Balb/cJ" "Male" "b45th" 24 "mouseID" 72 19 33 9 137
"235" "Balb/cJ" "Female" "b46th" 24 "mouseID" 68 12 19 8 85
"236" "Balb/cJ" "Female" "b46th" 24 "mouseID" 78 11 13 0 121
"237" "Balb/cJ" "Male" "b46th" 24 "mouseID" 28 3 17 3 14
"238" "Balb/cJ" "Male" "b46th" 24 "mouseID" 48 10 6 3 42
"239" "Balb/cJ" "Female" "b47th" 20 "mouseID" 45 20 7 3 43
"240" "Balb/cJ" "Female" "b47th" 20 "mouseID" 93 0 24 0 1
"241" "Balb/cJ" "Female" "b47th" 20 "mouseID" 85 11 4 0 36
"242" "Balb/cJ" "Female" "b48th" 20 "mouseID" 53 6 18 6 32
"243" "Balb/cJ" "Male" "b48th" 20 "mouseID" 92 16 31 3 47
"244" "Balb/cJ" "Male" "b48th" 20 "mouseID" 21 1 5 0 11
"245" "Balb/cJ" "Female" "b49th" 32 "mouseID" 86 11 27 9 89
"246" "Balb/cJ" "Female" "b49th" 32 "mouseID" 152 45 10 10 5
"247" "Balb/cJ" "Male" "b49th" 32 "mouseID" 50 11 3 10 2
"248" "Balb/cJ" "Male" "b49th" 32 "mouseID" 82 12 13 4 0
"249" "Balb/cJ" "Female" "b50th" 20 "mouseID" 43 3 8 0 85
"250" "Balb/cJ" "Female" "b50th" 20 "mouseID" 15 1 3 0 0
"251" "Balb/cJ" "Male" "b50th" 20 "mouseID" 66 3 27 0 37
"252" "Balb/cJ" "Male" "b50th" 20 "mouseID" 22 0 2 0 0
"253" "Balb/cJ" "Female" "b51st" 32 "mouseID" 106 28 23 7 46
"254" "Balb/cJ" "Female" "b51st" 32 "mouseID" 86 13 28 1 0
"255" "Balb/cJ" "Male" "b51st" 32 "mouseID" 57 20 11 3 23
"256" "Balb/cJ" "Female" "b52nd" 32 "mouseID" 67 14 39 3 0
"257" "Balb/cJ" "Female" "b52nd" 32 "mouseID" 108 12 33 0 24
"258" "Balb/cJ" "Male" "b52nd" 32 "mouseID" 95 22 37 12 74
"259" "Balb/cJ" "Male" "b52nd" 32 "mouseID" 73 16 28 9 35
"260" "Balb/cJ" "Female" "b53rd" 32 "mouseID" 23 6 10 1 14
"261" "Balb/cJ" "Female" "b53rd" 32 "mouseID" 59 17 21 15 67
"262" "Balb/cJ" "Male" "b53rd" 32 "mouseID" 56 18 14 7 56
"263" "Balb/cJ" "Male" "b53rd" 32 "mouseID" 149 14 58 0 0
"264" "Balb/cJ" "Female" "b54th" 32 "mouseID" 25 11 14 1 14
"265" "Balb/cJ" "Female" "b54th" 32 "mouseID" 84 15 46 5 120
"266" "Balb/cJ" "Female" "b55th" 32 "mouseID" 136 29 65 9 205
"267" "Balb/cJ" "Female" "b55th" 32 "mouseID" 109 28 45 7 109
"268" "Balb/cJ" "Female" "b56th" 32 "mouseID" 49 17 17 9 66
"269" "Balb/cJ" "Female" "b56th" 32 "mouseID" 65 11 45 0 143
"270" "Balb/cJ" "Male" "b56th" 32 "mouseID" 1 0 1 0 2
"271" "Balb/cJ" "Female" "b57th" 32 "mouseID" 56 10 20 3 67
"272" "Balb/cJ" "Female" "b57th" 32 "mouseID" 96 18 49 14 83
"273" "Balb/cJ" "Male" "b57th" 32 "mouseID" 76 19 22 6 66
"274" "Balb/cJ" "Male" "b57th" 32 "mouseID" 59 19 16 3 66
